Module,Test Scenario,Test Case ID,Test Case Name,Test Steps,Test Data,Expected Result,Actual Result,Status,Priority,Fixed By,Tested By,Test Date
MODULE 1 - AUTHENTICATION : Registration,Password Visibility 7,TC-CS-025,Toggle password masking 7,Tap eye icon in password field,None,Password toggles between clear text and masked,,Untested,Low,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,UI Validation,TC-CS-026,Verify Login UI components,Open app | Navigate to Login,None,"Email, Password, LoginBtn, GoogleBtn visible",,Untested,Medium,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Valid Login,TC-CS-027,Login with correct credentials,Enter correct email/pass | Click Login,"john@test.com, Pass123","JWT stored, diverted to Home Page",,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Invalid Password,TC-CS-028,Login with wrong password,"Enter valid email, wrong pass","john@test.com, wrongpass",Error: Invalid credentials,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Unregistered Email,TC-CS-029,Login with non-existent email,Enter ghost@test.com,ghost@test.com,Error: User not found,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Empty Login,TC-CS-030,Submit without data,Leave blank | Click Login,None,Validation requires both fields,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Case Sensitivity,TC-CS-031,Login email case test,Enter JoHn@tEsT.CoM,JoHn@tEsT.CoM,"Backend converts to lower, successful login",,Untested,Medium,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Session Persistence,TC-CS-032,Close and reopen app,Kill app | Reopen app,Valid session exists,"Auto-navigates to Home, skips login",,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Session Expiry,TC-CS-033,Use expired JWT,Simulate expired token | Open app,Expired JWT,Redirects to Login page,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Logout function,TC-CS-034,Click Settings -> Logout,Go to Profile | Click Logout,None,"JWT cleared, redirected to Login",,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Logout Back Stack,TC-CS-035,Press back after logout,Logout | Press phone back arrow,None,App closes rather than going back to Home,,Untested,Medium,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Google OAuth UI,TC-CS-036,Verify Google login button,View Login Page,None,Google Logo and CTA displays properly,,Untested,Medium,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Google OAuth Flow,TC-CS-037,Click Google Login,Click Google Btn | Select account,Valid Google Session,"Logs in, stores token, navigates Home",,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Google OAuth Cancel,TC-CS-038,Cancel Google popup,Click Google Btn | Dismiss popup,None,Returns to Login peacefully,,Untested,Medium,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Forgot Password UI,TC-CS-039,Click forgot password,Click Forgot Pwd link,None,Navigates to Forgot Pwd Screen,,Untested,Medium,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Forgot Password Valid,TC-CS-040,Submit valid email,Enter valid email | Submit,john@test.com,Success message: Email sent,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Forgot Password Invalid,TC-CS-041,Submit unregistered email,Enter ghost@test.com,ghost@test.com,Error: Email not found (or generic success to prevent sniffing),,Untested,Medium,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Brute Force Protection 1,TC-CS-042,Repeated invalid logins,Attempt wrong pass 5 times,Wrong info,Account temporarily locked or CAPTCHA shown,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Brute Force Protection 2,TC-CS-043,Repeated invalid logins,Attempt wrong pass 5 times,Wrong info,Account temporarily locked or CAPTCHA shown,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Brute Force Protection 3,TC-CS-044,Repeated invalid logins,Attempt wrong pass 5 times,Wrong info,Account temporarily locked or CAPTCHA shown,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Brute Force Protection 4,TC-CS-045,Repeated invalid logins,Attempt wrong pass 5 times,Wrong info,Account temporarily locked or CAPTCHA shown,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Brute Force Protection 5,TC-CS-046,Repeated invalid logins,Attempt wrong pass 5 times,Wrong info,Account temporarily locked or CAPTCHA shown,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Brute Force Protection 6,TC-CS-047,Repeated invalid logins,Attempt wrong pass 5 times,Wrong info,Account temporarily locked or CAPTCHA shown,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Brute Force Protection 7,TC-CS-048,Repeated invalid logins,Attempt wrong pass 5 times,Wrong info,Account temporarily locked or CAPTCHA shown,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Brute Force Protection 8,TC-CS-049,Repeated invalid logins,Attempt wrong pass 5 times,Wrong info,Account temporarily locked or CAPTCHA shown,,Untested,High,None,None,
MODULE 2 - AUTHENTICATION : Login & Logout,Brute Force Protection 9,TC-CS-050,Repeated invalid logins,Attempt wrong pass 5 times,Wrong info,Account temporarily locked or CAPTCHA shown,,Untested,High,None,None,
MODULE 3 - ONBOARDING,Fresh Install UI,TC-CS-051,Verify splash screens,Install app | Open,None,"Shows Welcome, Features, Next button",,Untested,High,None,None,
MODULE 3 - ONBOARDING,Swipe Gestures,TC-CS-052,Swipe through onboarding,Swipe right to left,None,Moves to next dot indicator/page,,Untested,Medium,None,None,
MODULE 3 - ONBOARDING,Skip Button,TC-CS-053,Click Skip,Click Skip on page 1,None,Jumps straight to Login/Register,,Untested,Medium,None,None,
MODULE 3 - ONBOARDING,Complete Onboarding,TC-CS-054,Click Next until end,Click Next 3x | Click Get Started,None,Navigates to Auth gateway,,Untested,High,None,None,
MODULE 3 - ONBOARDING,Onboarding Once,TC-CS-055,Reopen after onboarding,Complete onboarding | Kill app | Open app,None,Bypasses onboarding directly to Auth,,Untested,High,None,None,
MODULE 3 - ONBOARDING,UI Responsiveness 1,TC-CS-056,Rotate screen during onboard,Rotate phone to Landscape,None,"Layout adapts cleanly, no crashes",,Untested,Low,None,None,
MODULE 3 - ONBOARDING,UI Responsiveness 2,TC-CS-057,Rotate screen during onboard,Rotate phone to Landscape,None,"Layout adapts cleanly, no crashes",,Untested,Low,None,None,
MODULE 3 - ONBOARDING,UI Responsiveness 3,TC-CS-058,Rotate screen during onboard,Rotate phone to Landscape,None,"Layout adapts cleanly, no crashes",,Untested,Low,None,None,
MODULE 3 - ONBOARDING,UI Responsiveness 4,TC-CS-059,Rotate screen during onboard,Rotate phone to Landscape,None,"Layout adapts cleanly, no crashes",,Untested,Low,None,None,
MODULE 3 - ONBOARDING,UI Responsiveness 5,TC-CS-060,Rotate screen during onboard,Rotate phone to Landscape,None,"Layout adapts cleanly, no crashes",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Dashboard Load,TC-CS-061,Verify Home data fetch,Login validly,Valid token,"Fetches user progress, recent techniques",,Untested,High,None,None,
MODULE 4 - HOME DASHBOARD,Bottom Nav UI,TC-CS-062,Verify Bottom Navigation,Look at bottom nav,None,"Home, Practice, Leaderboard, Profile are visible",,Untested,High,None,None,
MODULE 4 - HOME DASHBOARD,Bottom Nav Routing,TC-CS-063,Navigate to Practice,Click Practice icon,None,Practice tab foregrounded safely,,Untested,High,None,None,
MODULE 4 - HOME DASHBOARD,Bottom Nav Routing,TC-CS-064,Navigate to Leaderboard,Click Leaderboard icon,None,Leaderboard tab foregrounded safely,,Untested,High,None,None,
MODULE 4 - HOME DASHBOARD,Bottom Nav Routing,TC-CS-065,Navigate to Profile,Click Profile icon,None,Profile tab foregrounded safely,,Untested,High,None,None,
MODULE 4 - HOME DASHBOARD,Recent Practices,TC-CS-066,View recent list,Check home feed,None,Shows last practiced items with score,,Untested,Medium,None,None,
MODULE 4 - HOME DASHBOARD,Empty State,TC-CS-067,Home with new user,Login new user,No history,Shows empty state: 'Start your first practice!',,Untested,Medium,None,None,
MODULE 4 - HOME DASHBOARD,Greeting text,TC-CS-068,Verify Morning/Night greeting,Check top text at 10AM,10:00 AM,"Text says 'Good Morning, [Name]'",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Stat summary,TC-CS-069,Verify global stats,Check cards on top,"5 sessions, 80 avg","Displays 5 sessions, 80% accuracy",,Untested,Medium,None,None,
MODULE 4 - HOME DASHBOARD,Offline Dashboard,TC-CS-070,Open Home without internet,Turn off WiFi | Open app,Cached data,Shows last cached Home data + offline banner,,Untested,Medium,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 1,TC-CS-071,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 2,TC-CS-072,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 3,TC-CS-073,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 4,TC-CS-074,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 5,TC-CS-075,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 6,TC-CS-076,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 7,TC-CS-077,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 8,TC-CS-078,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 9,TC-CS-079,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 4 - HOME DASHBOARD,Pull to Refresh 10,TC-CS-080,Pull list downwards,Scroll up past top,None,"Refresh spinner, fetches new data",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,List Fetch,TC-CS-081,Load techniques list,Click Techniques tab,None,API returns list of cultural techniques,,Untested,High,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Search Function,TC-CS-082,Search existing technique,Type 'Salsa' in search,Salsa,Filters list to show 'Salsa',,Untested,High,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Search Empty,TC-CS-083,Search non-existent,Type 'XYZ123',XYZ123,Shows 'No techniques found',,Untested,Medium,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Category Filter,TC-CS-084,Filter by region,Click 'Latin' chip,Category: Latin,Shows only Latin techniques,,Untested,Medium,None,None,
MODULE 5 - TECHNIQUE LIBRARY,List Pagination,TC-CS-085,Scroll past 20 items,Scroll to bottom,20+ items,Lazy loads next page of techniques,,Untested,Medium,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Detail UI,TC-CS-086,Click a technique,Click on 'Samba',Tech ID 1,"Opens Detail Page with Video, Stats, Description",,Untested,High,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Video Playback,TC-CS-087,Play technique video,Click Play on detail,Valid MP4,ExoPlayer buffers and plays reference video,,Untested,High,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Video Pause,TC-CS-088,Pause playback,Click Pause indicator,Playing video,Video halts,,Untested,Medium,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Video Fullscreen,TC-CS-089,Rotate device to Landscape,Rotate while playing,None,Video enters fullscreen mode seamlessly,,Untested,Medium,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Start Practice Btn,TC-CS-090,Click 'Start Practice',Click big action button,None,Navigates to AR Practice Activity,,Untested,High,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 1,TC-CS-091,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 2,TC-CS-092,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 3,TC-CS-093,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 4,TC-CS-094,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 5,TC-CS-095,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 6,TC-CS-096,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 7,TC-CS-097,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 8,TC-CS-098,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 9,TC-CS-099,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 10,TC-CS-100,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 11,TC-CS-101,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 12,TC-CS-102,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 13,TC-CS-103,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 14,TC-CS-104,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 5 - TECHNIQUE LIBRARY,Technique Metadata 15,TC-CS-105,Verify text bounds,Open technique with long desc,Long text,"Text is wrapped/scrollable, no UI clipping",,Untested,Low,None,None,
MODULE 6 - AR PRACTICE SESSION,Camera Permission Dialog,TC-CS-106,Open Practice first time,Click Start Practice,No perms,Android requests Camera permission,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Camera Denied,TC-CS-107,Deny camera permission,Click Deny,Perm denied,Shows rationale 'Camera is needed to track movements',,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Camera Approved,TC-CS-108,Approve camera,Click Allow,Perm allowed,Camera feed opens natively via CameraX,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,ARCore Initialization,TC-CS-109,Verify ARCore loads,Enter Practice Activity,Compatible device,ARCore anchors successfully initialized,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,MediaPipe Tracking Model,TC-CS-110,Verify Hand tracking,Hold hand to camera,None,Visual overlays (dots) track hand joints,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Countdown Timer,TC-CS-111,Click Start Recording,Click Record,None,Shows 3..2..1 overlay before recording,,Untested,Medium,None,None,
MODULE 6 - AR PRACTICE SESSION,Recording State,TC-CS-112,Verify recording active,During recording phase,None,"UI shows red record dot, time elapsed",,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Reference Overlay,TC-CS-113,Verify ghost overlay,During practice,Video reference,Translucent reference video plays alongside camera feed,,Untested,Medium,None,None,
MODULE 6 - AR PRACTICE SESSION,Stop Recording Early,TC-CS-114,Click Stop manually,Click Stop after 2s,Length < Tech length,"Stops processing, prompts 'Too short'",,Untested,Medium,None,None,
MODULE 6 - AR PRACTICE SESSION,Auto-Stop Recording,TC-CS-115,Wait for timer,Wait out the technique length,None,Auto-stops and begins DTW processing phase,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,DTW Engine Execution,TC-CS-116,Verify score calculation,Wait after record,Recorded Arrays,"App runs Subsequence DTW, transitions to Results",,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Phone Sleep,TC-CS-117,Phone sleeps during record,Press Power button,Recording,"App pauses recording, saves partial state",,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Background App,TC-CS-118,App to background,Swipe to home screen,Recording,"App relinquishes camera, fails/pauses session gracefully",,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,No Person Detected,TC-CS-119,Walk away from camera,Leave frame,None,"UI warning: 'No movements detected, please step into frame'",,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Low Light,TC-CS-120,Cover camera lens,Complete darkness,None,UI warning: 'Low light conditions may affect accuracy',,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 1,TC-CS-121,Fast/Slow movements,Perform movement speed variation 1,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 2,TC-CS-122,Fast/Slow movements,Perform movement speed variation 2,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 3,TC-CS-123,Fast/Slow movements,Perform movement speed variation 3,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 4,TC-CS-124,Fast/Slow movements,Perform movement speed variation 4,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 5,TC-CS-125,Fast/Slow movements,Perform movement speed variation 5,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 6,TC-CS-126,Fast/Slow movements,Perform movement speed variation 6,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 7,TC-CS-127,Fast/Slow movements,Perform movement speed variation 7,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 8,TC-CS-128,Fast/Slow movements,Perform movement speed variation 8,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 9,TC-CS-129,Fast/Slow movements,Perform movement speed variation 9,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 10,TC-CS-130,Fast/Slow movements,Perform movement speed variation 10,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 11,TC-CS-131,Fast/Slow movements,Perform movement speed variation 11,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 12,TC-CS-132,Fast/Slow movements,Perform movement speed variation 12,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 13,TC-CS-133,Fast/Slow movements,Perform movement speed variation 13,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 14,TC-CS-134,Fast/Slow movements,Perform movement speed variation 14,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 15,TC-CS-135,Fast/Slow movements,Perform movement speed variation 15,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 16,TC-CS-136,Fast/Slow movements,Perform movement speed variation 16,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 17,TC-CS-137,Fast/Slow movements,Perform movement speed variation 17,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 18,TC-CS-138,Fast/Slow movements,Perform movement speed variation 18,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 19,TC-CS-139,Fast/Slow movements,Perform movement speed variation 19,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 20,TC-CS-140,Fast/Slow movements,Perform movement speed variation 20,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 21,TC-CS-141,Fast/Slow movements,Perform movement speed variation 21,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 22,TC-CS-142,Fast/Slow movements,Perform movement speed variation 22,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 23,TC-CS-143,Fast/Slow movements,Perform movement speed variation 23,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 24,TC-CS-144,Fast/Slow movements,Perform movement speed variation 24,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 6 - AR PRACTICE SESSION,Movement Edge Case 25,TC-CS-145,Fast/Slow movements,Perform movement speed variation 25,Varied speeds,DTW engine successfully time-warps and calculates relative score,,Untested,High,None,None,
MODULE 7 - SESSION RESULTS,Calculate Exact Score,TC-CS-146,View summary screen,Wait for DTW result,Raw score: 85.5,Renders circle progress bar showing 86%,,Untested,High,None,None,
MODULE 7 - SESSION RESULTS,Feedback Generation,TC-CS-147,View AI feedback,Check text below score,None,Gemini dynamically generates tips based on DTW path deviation,,Untested,High,None,None,
MODULE 7 - SESSION RESULTS,Save Session,TC-CS-148,Verify Backend sync,Score is 86%,Network active,"POSTs session history to backend, HTTP 201",,Untested,High,None,None,
MODULE 7 - SESSION RESULTS,Save Session Offline,TC-CS-149,Sync without internet,Score is 86%,Network down,"Saves to Room DB, flags for 'sync_pending'",,Untested,High,None,None,
MODULE 7 - SESSION RESULTS,Graph Rendering,TC-CS-150,View History Tab,Navigate to Progress,None,MPAndroidChart renders line graph of past scores,,Untested,Medium,None,None,
